Location,Sex,year,age,px
Argentina,Male,1951,45,0.99156006
Argentina,Male,1951,46,0.99070904
Argentina,Male,1951,47,0.98985295
Argentina,Male,1951,48,0.98902788
Argentina,Male,1951,49,0.98822695
Argentina,Male,1951,50,0.98741788
Argentina,Male,1951,51,0.98652695
Argentina,Male,1951,52,0.98547658
Argentina,Male,1951,53,0.98423007
Argentina,Male,1951,54,0.9827815
Argentina,Male,1951,55,0.98122198
Argentina,Male,1951,56,0.97968771
Argentina,Male,1951,57,0.97831246
Argentina,Male,1951,58,0.97720242
Argentina,Male,1951,59,0.9763029
Argentina,Male,1951,60,0.97547948
Argentina,Male,1951,61,0.97450023
Argentina,Male,1951,62,0.97310146
Argentina,Male,1951,63,0.97109736
Argentina,Male,1951,64,0.96831246
Argentina,Male,1951,65,0.96468919
Argentina,Male,1951,66,0.96023457
Argentina,Male,1951,67,0.95500893
Argentina,Male,1951,68,0.94914062
Argentina,Male,1951,69,0.94271646
Argentina,Male,1951,70,0.93580431
Argentina,Male,1951,71,0.92837691
Argentina,Male,1951,72,0.92032046
Argentina,Male,1951,73,0.91142691
Argentina,Male,1951,74,0.90138653
Argentina,Male,1951,75,0.88980594
Argentina,Male,1951,76,0.87620492
Argentina,Male,1951,77,0.86029668
Argentina,Male,1951,78,0.84205146
Argentina,Male,1951,79,0.82204989
Argentina,Male,1951,80,0.80162039
Argentina,Male,1951,81,0.7847496
Argentina,Male,1951,82,0.76854964
Argentina,Male,1951,83,0.75268498
Argentina,Male,1951,84,0.73684338
Argentina,Male,1951,85,0.72073469
Argentina,Male,1951,86,0.70409074
Argentina,Male,1951,87,0.6866661
Argentina,Male,1951,88,0.66823941
Argentina,Male,1951,89,0.64861526
Argentina,Male,1951,90,0.62762628
Argentina,Male,1951,91,0.60361198
Argentina,Male,1951,92,0.57934103
Argentina,Male,1951,93,0.55523407
Argentina,Male,1951,94,0.53136234
Argentina,Male,1951,95,0.52019768
Argentina,Male,1951,96,0.50299583
Argentina,Male,1951,97,0.48687077
Argentina,Male,1951,98,0.47185113
Argentina,Male,1951,99,0.45794397
Argentina,Male,1951,100,0
Argentina,Male,1952,0,0.92260004
Argentina,Male,1952,1,0.99245299
Argentina,Male,1952,2,0.99511803
Argentina,Male,1952,3,0.99679383
Argentina,Male,1952,4,0.99782604
Argentina,Male,1952,5,0.99845081
Argentina,Male,1952,6,0.99882096
Argentina,Male,1952,7,0.99902973
Argentina,Male,1952,8,0.99913678
Argentina,Male,1952,9,0.99917417
Argentina,Male,1952,10,0.99916283
Argentina,Male,1952,11,0.99911588
Argentina,Male,1952,12,0.99904245
Argentina,Male,1952,13,0.99895135
Argentina,Male,1952,14,0.9988471
Argentina,Male,1952,15,0.99873292
Argentina,Male,1952,16,0.99860806
Argentina,Male,1952,17,0.99846971
Argentina,Male,1952,18,0.99831672
Argentina,Male,1952,19,0.99814956
Argentina,Male,1952,20,0.99797332
Argentina,Male,1952,21,0.9977972
Argentina,Male,1952,22,0.997632
Argentina,Male,1952,23,0.99748951
Argentina,Male,1952,24,0.99737792
Argentina,Male,1952,25,0.99730159
Argentina,Male,1952,26,0.9972591
Argentina,Male,1952,27,0.99724435
Argentina,Male,1952,28,0.9972469
Argentina,Male,1952,29,0.99725357
Argentina,Male,1952,30,0.99725004
Argentina,Male,1952,31,0.99722122
Argentina,Male,1952,32,0.99715578
Argentina,Male,1952,33,0.99704512
Argentina,Male,1952,34,0.99688495
Argentina,Male,1952,35,0.99667627
Argentina,Male,1952,36,0.99642191
Argentina,Male,1952,37,0.9961279
Argentina,Male,1952,38,0.99579824
Argentina,Male,1952,39,0.99543245
Argentina,Male,1952,40,0.99502618
Argentina,Male,1952,41,0.99456828
Argentina,Male,1952,42,0.99404786
Argentina,Male,1952,43,0.99345789
Argentina,Male,1952,44,0.99279805
Argentina,Male,1952,45,0.99208306
Argentina,Male,1952,46,0.99133424
Argentina,Male,1952,47,0.99057583
Argentina,Male,1952,48,0.98982546
Argentina,Male,1952,49,0.98907368
Argentina,Male,1952,50,0.98829503
Argentina,Male,1952,51,0.98743871
Argentina,Male,1952,52,0.98645145
Argentina,Male,1952,53,0.98530752
Argentina,Male,1952,54,0.98400211
Argentina,Male,1952,55,0.98259462
Argentina,Male,1952,56,0.98117358
Argentina,Male,1952,57,0.97982557
Argentina,Male,1952,58,0.97862057
Argentina,Male,1952,59,0.97752199
Argentina,Male,1952,60,0.97643735
Argentina,Male,1952,61,0.97519943
Argentina,Male,1952,62,0.97360937
Argentina,Male,1952,63,0.9715169
Argentina,Male,1952,64,0.9687774
Argentina,Male,1952,65,0.96533248
Argentina,Male,1952,66,0.96117013
Argentina,Male,1952,67,0.95631736
Argentina,Male,1952,68,0.95084787
Argentina,Male,1952,69,0.94481229
Argentina,Male,1952,70,0.93825471
Argentina,Male,1952,71,0.93115391
Argentina,Male,1952,72,0.92342792
Argentina,Male,1952,73,0.91489347
Argentina,Male,1952,74,0.9052595
Argentina,Male,1952,75,0.89412542
Argentina,Male,1952,76,0.88097675
Argentina,Male,1952,77,0.86548099
Argentina,Male,1952,78,0.8475501
Argentina,Male,1952,79,0.82772676
Argentina,Male,1952,80,0.80734252
Argentina,Male,1952,81,0.7907808
Argentina,Male,1952,82,0.77491223
Argentina,Male,1952,83,0.75940134
Argentina,Male,1952,84,0.74393535
Argentina,Male,1952,85,0.72822302
Argentina,Male,1952,86,0.71199441
Argentina,Male,1952,87,0.69500162
Argentina,Male,1952,88,0.67702018
Argentina,Male,1952,89,0.65785086
Argentina,Male,1952,90,0.6373218
Argentina,Male,1952,91,0.6137844
Argentina,Male,1952,92,0.58997705
Argentina,Male,1952,93,0.56631224
Argentina,Male,1952,94,0.54286033
Argentina,Male,1952,95,0.53111053
Argentina,Male,1952,96,0.51375836
Argentina,Male,1952,97,0.49739591
Argentina,Male,1952,98,0.48206346
Argentina,Male,1952,99,0.46778061
Argentina,Male,1952,100,0
Argentina,Male,1953,0,0.92424995
Argentina,Male,1953,1,0.9930094
Argentina,Male,1953,2,0.99527209
Argentina,Male,1953,3,0.99676585
Argentina,Male,1953,4,0.99773348
Argentina,Male,1953,5,0.99835005
Argentina,Male,1953,6,0.99873547
Argentina,Male,1953,7,0.99896813
Argentina,Male,1953,8,0.99910043
Argentina,Male,1953,9,0.99916213
Argentina,Male,1953,10,0.99917138
