1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
345.384,356.416,371.285,382.011,392.034,404.575,418.642,435.957,458.855,486.654,501.149,510.684,531.586,551.221,570.938,591.731,610.914,633.16,655.687,678.003,701.57,726.995,753.816,784.31,815.278,846.981,876.602,905.819,934.134,964.034,989.113,1011.999,1020.225,1031.005,1037.591,1044.909,1051.753,1063.08,1067.454,1055.413,1056.248,1061.938,1062.889,1061.283,1058.128,1069.872,1083.394,1100.157,1113.399,1121.036,1141.885,1153.379,1153.795,1148.884,1142.364,1146.733,1145.885,1130.758,1123.33,1127.622,1135.428,1157.751,1159.882,1161.227,1153.882,1149.667,1144.298,1139.714,1137.967,1139.73,1143.131,1146.759,1149.868,1151.738
332.409,343.847,354.867,369.667,380.429,390.463,403.062,417.097,434.367,457.194,484.941,500.109,509.744,530.641,550.231,569.895,590.667,609.85,632.045,654.519,676.763,700.3,725.657,752.478,782.986,814.021,845.728,875.291,904.483,932.808,962.74,987.805,995.936,1006.868,1020.939,1028.302,1036.66,1045.063,1057.985,1062.428,1047.927,1045.162,1049.292,1052.522,1054.062,1052.325,1065.68,1080.114,1097.921,1111.483,1118.999,1134.34,1146.273,1146.669,1141.964,1135.85,1140.87,1141.201,1128.542,1122.098,1126.74,1135.044,1157.377,1159.381,1160.736,1153.244,1148.941,1143.56,1139.086,1137.425,1139.193,1142.62,1146.297,1149.407
318.179,330.903,342.321,353.293,368.102,378.873,388.954,401.524,415.513,432.729,455.508,483.914,499.178,508.826,529.677,549.212,568.858,589.622,608.761,630.893,653.294,675.492,698.95,724.282,751.101,781.651,812.686,844.329,873.865,903.059,931.406,961.305,971.156,979.842,993.499,1010.853,1018.987,1028.39,1038.354,1052.865,1057.372,1035.574,1032.705,1036.652,1042.155,1046.824,1046.498,1061.458,1076.798,1095.649,1109.536,1109.952,1126.03,1137.933,1138.568,1134.338,1128.991,1135.388,1138.603,1127.095,1121.064,1126.277,1134.6,1156.75,1158.77,1159.914,1152.301,1147.977,1142.749,1138.393,1136.742,1138.561,1142.031,1145.728
308.723,316.647,329.342,340.716,351.701,366.512,377.316,387.37,399.89,413.833,431.009,454.442,482.94,498.205,507.824,528.616,548.132,567.764,588.475,607.54,629.586,651.909,674.008,697.416,722.721,749.561,780.1,811.062,842.667,872.19,901.395,929.694,943.854,954.431,963.696,980.076,1000.704,1009.61,1020.061,1031.584,1047.68,1042.9,1021.95,1020.213,1023.976,1031.739,1039.531,1040.61,1057.169,1073.414,1093.316,1098.681,1100.368,1116.41,1128.581,1129.762,1126.414,1122.655,1132.368,1136.9,1125.867,1120.462,1125.699,1133.743,1155.916,1157.601,1158.551,1150.9,1146.813,1141.764,1137.431,1135.867,1137.738,1141.256
293.396,307.072,314.974,327.625,339.007,350.008,364.83,375.597,385.597,398.07,411.974,429.82,453.391,481.861,497.084,506.658,527.426,546.914,566.481,587.09,606.044,627.971,650.161,672.181,695.534,720.83,747.646,778.096,809.004,840.574,870.092,899.231,911.543,926.286,937.618,947.467,966.555,990.452,1000.134,1011.631,1024.71,1032.009,1025.984,1008.248,1007.648,1011.216,1021.233,1032.14,1034.619,1052.779,1069.938,1080.415,1087.732,1089.384,1105.727,1118.514,1120.696,1119.152,1119.167,1130.369,1135.426,1125.041,1119.672,1124.47,1132.568,1154.2,1155.576,1156.451,1149.173,1145.363,1140.356,1136.163,1134.675,1136.63
278.843,291.625,305.25,313.126,325.783,337.185,348.2,362.963,373.669,383.624,396.055,410.588,428.638,452.177,480.574,495.732,505.298,526.019,545.423,564.852,585.307,604.091,625.841,647.921,669.85,693.16,718.411,745.12,775.489,806.336,837.879,867.312,880.249,893.238,908.599,920.692,931.101,952.887,980.058,990.513,1003.055,1009.024,1013.59,1008.942,994.43,994.961,998.328,1010.591,1024.609,1028.491,1048.267,1055.09,1068.164,1075.44,1077.434,1094.461,1108.351,1112.533,1115.181,1116.847,1128.611,1134.284,1123.942,1117.922,1122.815,1130.112,1151.266,1152.519,1153.941,1147.072,1143.337,1138.534,1134.455,1133.101
271.622,277.011,289.739,303.32,311.228,323.909,335.322,346.285,360.977,371.636,381.557,394.418,409.231,427.246,450.708,479.002,494.135,503.655,524.262,543.485,562.711,582.929,601.489,623.098,645.045,666.894,690.132,715.249,741.848,772.12,802.918,834.351,848.542,861.082,874.788,890.772,903.595,914.549,939.039,969.48,980.706,987.934,990.978,995.003,991.739,980.453,982.11,985.265,999.77,1016.907,1022.218,1031.717,1041.464,1054.491,1062.139,1064.899,1083.138,1099.228,1108.033,1112.488,1114.758,1127.079,1132.779,1121.529,1115.67,1119.446,1126.083,1147.035,1149.041,1151.022,1144.274,1140.813,1136.175,1132.288
263.368,269.751,275.114,287.803,301.402,309.362,322.053,333.413,344.323,358.96,369.591,379.643,392.862,407.633,425.566,448.921,477.147,492.205,501.602,521.981,540.946,559.868,579.804,598.2,619.635,641.462,663.208,686.28,711.247,737.718,767.912,798.579,816.955,829.565,841.751,856.177,872.743,886.281,897.79,924.976,958.683,965.929,971.001,972.73,976.219,974.344,966.281,969.053,971.997,988.756,1009.044,1004.291,1016.751,1026.453,1039.877,1048.355,1052.448,1073.082,1094.201,1104.95,1110.031,1112.792,1125.123,1129.612,1118.596,1111.287,1114.199,1120.573,1142.475,1145.205,1147.348,1140.953,1137.713,1133.328
255.522,261.479,267.832,273.189,285.901,299.535,307.526,320.162,331.476,342.344,356.946,367.396,377.885,391.054,405.733,423.553,446.834,474.933,489.827,498.976,519.041,537.636,556.225,575.969,594.162,615.441,637.128,658.672,681.551,706.355,732.726,762.764,782.649,799.337,810.414,822.246,837.348,854.484,868.748,880.802,910.68,943.723,949.728,953.853,954.269,957.227,956.735,951.89,955.786,958.535,977.582,989.95,988.279,1000.694,1010.821,1025.12,1035.006,1041.659,1067.63,1090.78,1102.152,1107.621,1110.392,1121.211,1125.976,1113.179,1104.811,1107.389,1114.946,1137.7,1140.638,1143.201,1137.093,1134.153
247.723,253.626,259.556,265.891,271.304,284.05,297.696,305.659,318.248,329.521,340.37,354.499,365.448,375.885,388.943,403.5,421.242,444.385,472.258,486.853,495.668,515.301,533.516,551.9,571.407,589.425,610.529,631.972,653.277,675.965,700.642,726.838,747.878,766.495,781.551,791.091,802.527,818.295,836.015,850.992,863.591,897.097,927.552,933.316,936.495,935.607,938.028,938.914,937.308,942.349,944.937,957.979,973.371,971.678,984.528,995.555,1011.294,1023.802,1035.958,1063.986,1087.729,1099.359,1104.825,1105.829,1116.951,1119.598,1105.556,1096.807,1100.774,1109.346,1132.301,1135.741,1138.632,1132.855
242.761,245.812,251.687,257.594,263.969,269.445,282.205,295.804,303.739,316.28,327.533,337.722,352.387,363.276,373.59,386.514,400.983,418.583,441.486,468.991,483.201,491.567,510.78,528.78,546.911,566.219,584.036,604.856,626.015,647.111,669.651,694.126,712.98,732.779,750.192,763.611,771.578,782.608,799.06,817.351,833.049,851.308,883.55,911.196,916.718,918.963,916.771,918.654,920.943,922.597,928.816,925.472,941.386,956.739,955.506,969.243,981.706,1000.045,1018.016,1032.219,1060.808,1084.662,1096.276,1099.736,1101.074,1109.792,1110.999,1096.538,1089.374,1094.479,1103.281,1126.786,1130.593,1133.802
238.526,240.81,243.849,249.693,255.627,262.052,267.575,280.294,293.835,301.74,314.252,324.716,335.492,350.081,360.825,370.998,383.823,398.146,415.502,438.022,465.074,478.787,486.739,505.729,523.467,541.391,560.464,577.97,598.472,619.405,640.336,662.652,680.995,698.935,717.564,733.77,745.519,751.905,762.546,779.671,798.547,821.342,840.142,869.856,894.688,899.984,901.301,897.813,899.185,902.888,907.834,909.659,909.147,925.027,940.812,940.466,955.606,970.618,994.294,1014.243,1029.006,1057.592,1081.413,1090.82,1094.607,1093.34,1100.471,1101.198,1088.474,1082.555,1087.881,1097.339,1121.194,1125.309
