1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
321.21,337.629,358.642,375.521,389.217,402.529,415.63,430.757,450.684,476.152,489.444,503.338,523.485,542.557,561.623,581.808,600.253,621.809,643.863,665.729,688.745,713.643,739.753,769.13,798.903,829.252,857.877,886.082,913.587,942.549,966.796,989.372,1003.677,1018.249,1028.439,1039.504,1049.754,1053.965,1044.244,1026.43,1027.35,1043.338,1052.35,1051.144,1047.555,1057.627,1068.004,1076.696,1080.081,1083.317,1105.176,1125.891,1128.781,1123.349,1119.446,1121.84,1117.047,1101.43,1093.128,1095.901,1102.18,1123.009,1123.855,1124.541,1117.14,1112.723,1107.35,1102.477,1100.403,1102.083,1105,1108.141,1110.779,1112.344
306.345,319.905,336.299,357.271,374.175,387.892,401.255,414.323,429.407,449.269,474.699,488.537,502.485,522.638,541.687,560.741,580.916,599.359,620.912,642.911,664.686,687.642,712.485,738.615,768.022,797.869,828.242,856.819,885.002,912.507,941.506,965.758,981.042,997.053,1013.746,1024.095,1035.936,1047.841,1051.949,1040.141,1019.205,1024.037,1039.473,1049.228,1049.973,1046.906,1057.342,1067.405,1075.57,1077.937,1080.593,1102.877,1122.113,1124.989,1119.662,1115.965,1118.702,1114.523,1100.194,1092.399,1095.353,1101.871,1122.711,1123.458,1124.155,1116.627,1112.129,1106.731,1101.931,1099.947,1101.651,1104.585,1107.74,1110.405
295.917,305.425,318.977,335.367,356.366,373.298,387.068,400.431,413.491,428.558,448.419,473.818,487.717,501.678,521.804,540.841,559.88,580.041,598.482,619.976,641.885,663.584,686.476,711.317,737.462,766.921,796.787,827.108,855.657,883.831,911.367,940.362,957.04,972.719,990.445,1009.242,1019.754,1032.382,1045.942,1049.931,1036.021,1015.23,1021.294,1035.638,1046.122,1048.794,1046.24,1057.04,1066.794,1074.433,1075.779,1078.196,1098.839,1118.054,1121.042,1115.937,1112.608,1115.995,1113.185,1099.401,1091.798,1095.001,1101.535,1122.249,1123.01,1123.548,1115.923,1111.397,1106.089,1101.4,1099.443,1101.17,1104.112,1107.316
293.772,295.279,304.797,318.372,334.812,355.839,372.821,386.623,400.008,413.089,428.189,447.502,472.967,486.874,500.812,520.921,539.936,558.95,579.098,597.468,618.862,640.664,662.279,685.15,709.986,736.166,765.634,795.442,825.723,854.256,882.451,909.977,931.205,948.308,964.392,983.822,1004.728,1015.413,1028.825,1044.025,1047.88,1029.884,1012.061,1018.562,1031.803,1042.991,1047.583,1045.545,1056.714,1066.16,1073.27,1072.939,1073.836,1094.455,1113.787,1117.012,1112.303,1109.676,1114.532,1112.305,1098.727,1091.378,1094.598,1100.956,1121.686,1122.223,1122.624,1114.964,1110.573,1105.411,1100.755,1098.837,1100.574,1103.586
290.199,293.247,294.793,304.354,317.992,334.475,355.542,372.569,386.416,399.847,412.984,427.149,446.576,472.022,485.898,499.821,519.901,538.874,557.858,577.907,596.157,617.4,639.085,660.654,683.502,708.353,734.533,763.931,793.685,823.938,852.483,880.659,900.316,922.021,939.561,956.041,977.178,1000.202,1011.057,1025.24,1042.066,1039.549,1023.226,1008.888,1015.817,1027.934,1039.82,1046.336,1044.819,1056.356,1065.49,1069.435,1068.049,1068.926,1089.675,1109.268,1112.934,1109.011,1108.03,1113.534,1111.531,1098.205,1090.879,1093.836,1100.225,1120.619,1120.958,1121.308,1113.862,1109.669,1104.545,1099.95,1098.063,1099.889
287.704,289.674,292.759,294.375,304.012,317.699,334.225,355.341,372.423,386.333,399.83,411.743,426.087,445.49,470.877,484.729,498.626,518.639,537.557,556.406,576.297,594.342,615.424,637.036,658.56,681.404,706.238,732.333,761.659,791.376,821.629,850.145,870.363,890.619,912.815,930.784,947.663,970.514,995.654,1006.666,1021.606,1032.783,1029.622,1016.553,1005.694,1013.033,1024.019,1036.605,1045.049,1044.054,1055.958,1060.35,1063.901,1062.494,1063.526,1084.571,1104.654,1109.206,1107.147,1106.897,1112.647,1110.879,1097.582,1089.875,1092.88,1098.793,1118.898,1119.169,1119.839,1112.658,1108.506,1103.476,1098.949,1097.168
286.974,287.119,289.133,292.283,294.002,303.699,317.432,334.021,355.193,372.344,386.327,398.33,410.497,424.81,444.149,469.484,483.302,497.117,517.043,535.78,554.426,574.043,591.879,612.859,634.403,655.906,678.714,703.442,729.445,758.724,788.431,818.641,839.985,860.027,880.897,903.576,921.975,939.261,963.826,991.068,1002.222,1012.727,1021.64,1019.673,1009.855,1002.458,1010.201,1020.057,1033.347,1043.722,1043.251,1049.511,1053.99,1057.517,1056.287,1057.668,1079.276,1100.375,1107.073,1105.852,1105.887,1111.853,1110.114,1096.293,1088.658,1091.013,1096.541,1116.55,1117.272,1118.282,1111.146,1107.124,1102.215,1097.807
282.766,286.282,286.482,288.561,291.81,293.615,303.363,317.164,333.826,355.058,372.278,384.537,396.873,409,423.243,442.524,467.799,481.513,495.217,514.908,533.392,551.696,571.048,588.759,609.65,631.153,652.599,675.277,699.888,725.839,755.1,784.75,809.517,829.783,849.667,871.142,894.303,913.14,930.833,957.099,986.429,993.417,1002.506,1010.471,1009.697,1003.115,999.179,1007.325,1016.052,1030.052,1042.362,1035.618,1042.213,1046.666,1050.391,1049.565,1051.602,1074.381,1097.951,1105.605,1104.711,1104.958,1110.954,1108.523,1094.798,1086.33,1088.196,1093.609,1114.201,1115.344,1116.399,1109.431,1105.588,1100.81
277.769,281.936,285.493,285.76,287.938,291.269,293.145,302.962,316.838,333.561,354.845,370.193,382.863,395.149,407.197,421.378,440.602,465.73,479.303,492.729,512.114,530.19,548.18,567.381,584.992,605.822,627.247,648.535,671.074,695.625,721.555,750.745,776.736,800.352,819.559,839.274,861.349,885.002,904.282,922.372,950.322,977.053,983.496,992.261,999.278,999.684,996.336,995.858,1004.409,1012.017,1026.733,1033.573,1027.413,1033.978,1038.651,1042.829,1042.743,1046.117,1071.69,1096.33,1104.347,1103.659,1103.944,1109.086,1106.762,1092.022,1082.964,1084.693,1090.832,1111.918,1113.11,1114.358,1107.63,1103.934
271.344,276.759,280.962,284.565,284.928,287.191,290.581,292.533,302.418,316.338,333.11,352.495,368.317,380.932,393.127,405.102,419.231,438.301,463.237,476.484,489.568,508.485,526.204,544.028,563.113,580.651,601.386,622.621,643.748,666.22,690.749,716.6,743.516,768.684,791.168,809.302,828.844,851.534,875.686,895.398,913.868,941.572,966.47,973.553,981.998,988.056,989.641,989.524,992.507,1001.474,1007.97,1017.127,1024.666,1018.482,1025.281,1030.447,1035.427,1036.799,1043.229,1069.965,1094.991,1103.198,1102.554,1101.845,1107.101,1103.586,1088.162,1078.952,1081.528,1088.245,1109.379,1110.783,1112.316,1105.761
