1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
647.025,655.557,671.631,686.713,703.342,725.21,746.112,786.537,828.993,873.933,934.294,962.312,996.651,1029.926,1063.614,1097.792,1132.688,1167.772,1203.086,1238.14,1272.361,1302.521,1332.132,1360.206,1384.974,1397.458,1402.625,1403.42,1400.641,1401.396,1416.182,1438.579,1465.025,1492.266,1520.562,1538.741,1572.461,1608.903,1647.298,1684.415,1719.402,1749.83,1775.624,1792.127,1799.777,1795.811,1792.534,1782.592,1762.035,1740.97,1723.682,1699.761,1684.497,1664.157,1670.042,1670.5,1683.289,1682.046,1689.546,1690.219,1666.418,1635.031,1601.345,1565.174,1528.321,1519.632,1509.39,1483.616,1459.465,1433.902,1425.844,1418.597,1413.509,1406.892
632.454,645.501,654.075,670.17,685.246,701.87,723.73,744.624,785.002,827.403,872.292,932.559,960.559,994.864,1028.129,1061.802,1095.97,1130.849,1165.923,1201.246,1236.308,1270.52,1300.69,1330.325,1358.424,1383.202,1395.739,1400.965,1401.814,1399.093,1399.894,1414.72,1437.104,1463.544,1490.849,1519.185,1537.423,1571.111,1607.607,1646.056,1683.213,1718.277,1748.651,1774.668,1790.969,1798.667,1794.753,1791.522,1781.632,1761.375,1740.216,1722.893,1698.98,1683.76,1663.41,1669.307,1669.792,1682.622,1681.385,1688.85,1689.399,1665.546,1634.232,1600.675,1564.567,1527.753,1519.031,1508.937,1483.075,1458.801,1433.424,1425.486,1417.981,1412.85
617.56,630.891,643.967,652.58,668.667,683.741,700.369,722.219,743.106,783.43,825.783,870.6,930.782,958.755,993.047,1026.297,1059.959,1094.109,1128.977,1164.061,1199.391,1234.436,1268.65,1298.843,1328.499,1356.605,1381.419,1394.009,1399.287,1400.191,1397.52,1398.375,1413.185,1435.558,1462.067,1489.415,1517.807,1536.012,1569.761,1606.315,1644.818,1682.073,1717.072,1747.73,1773.491,1789.83,1797.566,1793.695,1790.508,1780.978,1760.601,1739.396,1722.075,1698.216,1682.977,1662.631,1668.541,1669.063,1681.884,1680.594,1687.898,1688.368,1664.593,1633.43,1599.947,1563.88,1527.029,1518.485,1508.265,1482.242,1458.211,1432.988,1424.743,1417.172
606.836,615.936,629.296,642.4,651.023,667.105,682.189,698.82,720.657,741.53,781.806,824.077,868.829,928.911,956.88,991.153,1024.389,1058.033,1092.171,1127.047,1162.138,1197.438,1232.478,1266.708,1296.919,1326.579,1354.715,1379.573,1392.211,1397.538,1398.484,1395.868,1396.697,1411.48,1433.942,1460.503,1487.916,1516.239,1534.53,1568.345,1604.979,1643.62,1680.783,1716.144,1746.481,1772.268,1788.636,1796.401,1792.57,1789.815,1780.132,1759.699,1738.5,1721.243,1697.356,1682.09,1661.746,1667.684,1668.177,1680.906,1679.378,1686.559,1687.125,1663.554,1632.488,1599.057,1562.931,1526.344,1517.61,1507.159,1481.483,1457.646,1432.002,1423.646
594.556,605.137,614.278,627.662,640.764,649.4,665.493,680.586,697.214,719.033,739.898,780.073,822.273,866.938,926.942,954.901,989.154,1022.369,1055.997,1090.143,1125.026,1160.068,1195.352,1230.403,1264.643,1294.857,1324.542,1352.724,1377.616,1390.291,1395.645,1396.639,1393.959,1394.738,1409.644,1432.172,1458.815,1486.11,1514.534,1532.914,1566.848,1603.684,1642.187,1679.836,1714.769,1745.124,1770.924,1787.309,1795.102,1791.829,1788.867,1779.101,1758.675,1737.562,1720.257,1696.303,1681.009,1660.69,1666.566,1666.911,1679.269,1677.554,1684.865,1685.717,1662.277,1631.285,1597.753,1562.022,1525.15,1516.075,1506.134,1480.728,1456.267,1430.438
590.689,592.79,603.409,612.582,625.963,639.065,647.737,663.837,678.931,695.548,717.356,738.136,778.229,820.325,864.934,924.853,952.799,987.024,1020.219,1053.854,1088.007,1122.813,1157.827,1193.119,1228.173,1262.408,1292.641,1322.379,1350.59,1375.496,1388.173,1393.56,1394.426,1391.652,1392.606,1407.602,1430.238,1456.695,1484.123,1512.642,1531.202,1565.421,1602.053,1641.214,1678.286,1713.226,1743.583,1769.382,1785.783,1794.3,1790.748,1787.669,1777.905,1757.595,1736.409,1718.979,1694.964,1679.679,1659.266,1664.915,1664.716,1676.788,1675.253,1682.967,1683.99,1660.652,1629.5,1596.538,1560.379,1523.021,1514.685,1505.128,1478.815,1454.057
586.884,588.836,591.001,601.646,610.827,624.204,637.337,646.04,662.136,677.218,693.835,715.525,736.255,776.22,818.256,862.806,922.63,950.556,984.751,1017.953,1051.594,1085.64,1120.401,1155.419,1190.709,1225.753,1259.993,1290.288,1320.055,1348.264,1373.132,1385.82,1391.002,1391.708,1389.157,1390.238,1405.377,1427.75,1454.377,1481.918,1510.661,1529.618,1563.553,1601.046,1639.453,1676.523,1711.452,1741.791,1767.593,1784.919,1793.06,1789.353,1786.274,1776.653,1756.241,1734.867,1717.332,1693.317,1677.887,1657.166,1662.058,1661.462,1673.773,1672.789,1680.729,1681.878,1658.308,1627.941,1594.38,1557.554,1521.214,1513.396,1502.581,1475.844
580.852,584.942,586.961,589.18,599.825,609.014,622.426,635.581,644.299,660.376,675.461,691.941,713.564,734.19,774.089,816.063,860.543,920.262,948.166,982.363,1015.571,1049.07,1083.055,1117.816,1152.827,1188.102,1223.142,1257.447,1287.771,1317.519,1345.662,1370.506,1382.899,1387.848,1388.821,1386.424,1387.694,1402.493,1425.081,1451.838,1479.659,1508.893,1527.489,1562.51,1599.054,1637.451,1674.498,1709.395,1739.725,1766.674,1783.516,1791.452,1787.743,1784.839,1775.084,1754.414,1732.895,1715.344,1691.139,1675.305,1653.608,1657.98,1657.703,1670.711,1670.018,1678.116,1678.946,1656.392,1625.244,1590.823,1555.298,1519.628,1510.177,1498.797
570.824,578.823,582.977,585.051,587.296,597.943,607.189,620.624,633.78,642.497,658.573,673.494,689.906,711.4,732.005,771.84,813.739,858.142,917.749,945.669,979.868,1012.899,1046.322,1080.303,1115.052,1150.047,1185.306,1220.42,1254.746,1285.038,1314.692,1342.788,1367.238,1379.321,1384.578,1385.722,1383.549,1384.414,1399.477,1422.218,1449.307,1477.718,1506.492,1526.397,1560.282,1596.813,1635.179,1672.182,1707.058,1738.75,1765.111,1781.7,1789.627,1786.128,1783.059,1772.978,1752.125,1730.583,1712.79,1688.093,1671.063,1648.744,1653.506,1654.087,1667.438,1666.942,1674.638,1676.69,1653.185,1620.984,1588.135,1553.412,1515.754,1505.614
558.345,568.718,576.769,580.972,583.074,585.349,596.055,605.341,618.774,631.912,640.652,656.532,671.379,687.657,709.121,729.711,769.468,811.289,855.609,915.145,943.08,977.069,1010.008,1043.424,1077.39,1112.118,1147.092,1182.433,1217.566,1251.84,1282.013,1311.601,1339.224,1363.284,1375.704,1381.145,1382.536,1379.892,1381.076,1396.319,1419.439,1447.204,1475.074,1505.332,1523.95,1557.82,1594.315,1632.627,1669.606,1706.028,1737.042,1763.106,1779.68,1787.844,1784.156,1780.706,1770.407,1749.525,1727.703,1709.333,1683.255,1665.498,1643.651,1649.406,1650.393,1663.96,1662.997,1672.105,1673.043,1648.304,1617.914,1585.979,1548.939,1510.506
