1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
158.881,162.649,166.701,170.998,175.44,180.105,184.94,190.136,195.55,198.901,199.535,204.452,207.602,210.332,212.859,214.661,216.924,219.628,221.129,220.864,225.899,227.76,229.074,232.346,234.573,235.631,233.569,234.179,238.837,245.012,252.377,258.789,267.551,274.563,282.816,292.324,299.998,308.898,317.353,321.823,325.066,326.501,326.567,326.241,324.543,325.439,324.105,326.822,329.039,334.104,335.896,341.915,344.26,346.436,349.374,351.157,348.475,344.246,340.701,340.513,343.651,342.298,339.518,338.867,337.266,338.718,342.282,342.859,342.66,356.273,355.989,361.54,362.708,352.705
156.371,159.702,163.381,167.346,171.536,175.881,180.461,185.25,190.389,195.786,199.127,199.739,204.691,207.91,210.666,213.215,215.036,217.328,220.064,221.577,221.331,226.302,228.245,229.571,232.887,235.023,235.529,233.46,234.063,238.716,244.905,252.292,258.733,267.518,274.56,282.81,292.319,299.98,308.886,317.336,321.789,325.015,326.407,326.421,326.081,324.372,325.263,323.928,326.64,328.863,333.93,335.71,341.723,344.146,346.328,349.266,351.05,348.363,344.135,340.607,340.427,343.57,342.233,339.468,338.816,337.216,338.677,342.233,342.806,342.616,356.222,355.947,361.485,362.639
154.747,157.205,160.444,164.035,167.893,171.985,176.242,180.776,185.51,190.628,196.014,199.333,199.996,205.019,208.262,211.044,213.611,215.461,217.789,220.536,222.068,221.758,226.825,228.782,230.156,233.372,234.912,235.408,233.331,233.93,238.601,244.816,252.238,258.709,267.53,274.569,282.819,292.312,299.979,308.879,317.306,321.738,324.908,326.228,326.222,325.866,324.15,325.039,323.7,326.419,328.644,333.693,335.467,341.593,344.022,346.204,349.144,350.923,348.233,344.027,340.512,340.334,343.498,342.177,339.408,338.761,337.172,338.623,342.176,342.757,342.559,356.173,355.882,361.407
153.749,155.636,157.997,161.142,164.618,168.377,172.373,176.578,181.055,185.767,190.872,196.237,199.626,200.37,205.416,208.689,211.491,214.089,215.979,218.323,221.089,222.547,222.301,227.38,229.386,230.658,233.247,234.77,235.253,233.173,233.798,238.505,244.767,252.233,258.758,267.575,274.613,282.84,292.34,299.998,308.866,317.261,321.612,324.716,326.015,325.994,325.631,323.912,324.797,323.465,326.186,328.393,333.435,335.307,341.437,343.868,346.053,348.989,350.763,348.101,343.915,340.404,340.251,343.434,342.108,339.348,338.713,337.111,338.559,342.122,342.693,342.504,356.095,355.799
153.068,154.725,156.504,158.763,161.782,165.156,168.807,172.743,176.885,181.339,186.035,191.12,196.562,200.042,200.808,205.888,209.184,212.02,214.66,216.574,218.936,221.616,223.129,222.898,228.03,229.925,230.51,233.074,234.576,235.056,233.012,233.693,238.468,244.799,252.345,258.869,267.679,274.682,282.919,292.404,300.015,308.836,317.108,321.404,324.486,325.767,325.738,325.371,323.651,324.542,323.213,325.915,328.114,333.229,335.106,341.239,343.67,345.855,348.787,350.596,347.96,343.783,340.303,340.174,343.354,342.039,339.294,338.645,337.041,338.501,342.05,342.625,342.414,356.006
152.235,154.027,155.574,157.255,159.387,162.313,165.577,169.165,173.036,177.157,181.592,186.271,191.46,196.997,200.492,201.299,206.404,209.738,212.617,215.285,217.216,219.484,222.239,223.768,223.597,228.609,229.747,230.299,232.831,234.33,234.856,232.895,233.674,238.55,244.997,252.546,259.058,267.815,274.834,283.05,292.463,300.009,308.651,316.88,321.152,324.214,325.486,325.451,325.087,323.372,324.264,322.917,325.606,327.849,332.968,334.851,340.982,343.417,345.602,348.577,350.419,347.802,343.662,340.21,340.084,343.279,341.978,339.217,338.565,336.978,338.426,341.966,342.519,342.326
151.59,153.159,154.84,156.293,157.848,159.9,162.716,165.915,169.433,173.287,177.387,181.808,186.601,191.887,197.433,200.969,201.807,206.949,210.323,213.235,215.92,217.752,220.09,222.862,224.45,224.163,228.398,229.49,230.001,232.531,234.087,234.726,232.898,233.818,238.853,245.309,252.838,259.277,268.055,275.046,283.163,292.482,299.789,308.405,316.602,320.852,323.904,325.17,325.141,324.778,323.065,323.938,322.573,325.272,327.519,332.645,334.524,340.663,343.105,345.343,348.358,350.233,347.658,343.546,340.111,340.004,343.21,341.894,339.129,338.495,336.902,338.326,341.844,342.429
152.09,152.465,153.925,155.515,156.844,158.333,160.276,163.026,166.152,169.658,173.489,177.577,182.115,187.006,192.297,197.881,201.448,202.329,207.505,210.918,213.845,216.426,218.366,220.723,223.556,225.023,223.921,228.094,229.133,229.644,232.244,233.946,234.755,233.108,234.232,239.281,245.713,253.147,259.613,268.354,275.218,283.213,292.228,299.521,308.096,316.269,320.506,323.55,324.824,324.794,324.434,322.699,323.549,322.168,324.868,327.127,332.247,334.14,340.293,342.796,345.084,348.147,350.067,347.52,343.439,340.027,339.931,343.121,341.798,339.054,338.42,336.784,338.189,341.756
153.055,152.943,153.211,154.58,156.046,157.316,158.695,160.57,163.244,166.362,169.842,173.663,177.836,182.468,187.364,192.689,198.301,201.909,202.823,208.039,211.462,214.289,217.069,219.029,221.452,224.156,224.748,223.575,227.683,228.725,229.319,232.096,234.003,235.027,233.628,234.776,239.796,246.112,253.579,260,268.585,275.296,282.933,291.943,299.189,307.741,315.898,320.126,323.179,324.452,324.424,324.04,322.283,323.074,321.696,324.412,326.663,331.801,333.719,339.94,342.5,344.851,347.968,349.912,347.409,343.352,339.949,339.841,343.022,341.714,338.982,338.287,336.635,338.106
154.581,153.907,153.687,153.864,155.107,156.512,157.671,158.981,160.779,163.446,166.539,170.009,173.899,178.167,182.808,187.734,193.089,198.742,202.376,203.336,208.558,211.885,214.877,217.675,219.699,221.999,223.857,224.362,223.122,227.233,228.367,229.168,232.183,234.333,235.641,234.271,235.391,240.276,246.631,254.045,260.286,268.69,274.995,282.639,291.598,298.822,307.359,315.505,319.735,322.79,324.067,324.015,323.609,321.748,322.541,321.185,323.892,326.169,331.335,333.332,339.618,342.247,344.662,347.807,349.803,347.323,343.274,339.862,339.745,342.934,341.647,338.838,338.126,336.558
