1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
674.81,689.273,708.896,725.222,742.088,762.268,780.459,793.944,837.063,882.729,942.555,967.255,1002.585,1037.122,1071.979,1107.107,1142.757,1178.648,1214.784,1250.822,1285.779,1316.964,1347.14,1375.936,1401.209,1414.196,1420.013,1421.462,1419.378,1421.084,1436.778,1460.226,1487.478,1516.259,1545.872,1565.359,1601.246,1639.443,1679.403,1717.822,1754.277,1788.15,1816.88,1837.42,1848.306,1845.644,1842.817,1833.397,1813.163,1792.223,1776.127,1752.299,1737.571,1717.689,1725.449,1726.051,1740.171,1740.567,1749.372,1751.307,1727.462,1695.313,1661.253,1624.13,1586.383,1578.272,1568.363,1542.009,1517.221,1491.301,1483.373,1476.003,1470.889,1464.397
652.197,673.036,687.527,707.164,723.488,740.355,760.535,778.729,792.226,835.289,880.901,940.629,965.311,1000.597,1035.111,1069.94,1105.043,1140.669,1176.54,1212.673,1248.7,1283.63,1314.809,1344.995,1373.803,1399.091,1412.129,1418.011,1419.522,1417.482,1419.206,1434.904,1458.299,1485.5,1514.314,1543.952,1563.486,1599.326,1637.559,1677.514,1715.949,1752.458,1786.258,1815.162,1835.564,1846.495,1843.891,1841.118,1831.757,1811.715,1790.784,1774.742,1751.008,1736.406,1716.677,1724.458,1725.099,1739.271,1739.702,1748.497,1750.334,1726.461,1694.417,1660.488,1623.439,1585.742,1577.621,1567.867,1541.44,1516.576,1490.812,1482.988,1475.378,1470.231
629.253,650.452,671.297,685.808,705.434,721.76,738.635,758.815,777.01,790.515,833.528,879.064,938.699,963.355,998.615,1033.102,1067.905,1102.984,1138.59,1174.456,1210.576,1246.569,1281.484,1312.669,1342.864,1371.681,1397.002,1410.097,1416.036,1417.589,1415.571,1417.315,1432.963,1456.304,1483.545,1512.388,1542.066,1561.562,1597.445,1635.677,1675.649,1714.143,1750.559,1784.581,1813.278,1833.714,1844.686,1842.133,1839.411,1830.306,1810.237,1789.342,1773.375,1749.77,1735.295,1715.59,1723.399,1724.092,1738.286,1738.698,1747.364,1749.145,1725.384,1693.487,1659.639,1622.646,1584.94,1577.003,1567.153,1540.623,1515.964,1490.337,1482.236,1474.576
608.506,627.499,648.694,669.535,684.048,703.665,720.003,736.886,757.062,775.254,788.773,831.701,877.166,936.693,961.343,996.571,1031.029,1065.806,1100.863,1136.462,1172.314,1208.388,1244.357,1279.269,1310.46,1340.661,1369.505,1394.87,1408.015,1413.989,1415.554,1413.56,1415.248,1430.832,1454.232,1481.51,1510.402,1540.005,1559.574,1595.462,1633.72,1673.769,1712.13,1748.825,1782.56,1811.278,1831.742,1842.749,1840.246,1837.863,1828.681,1808.626,1787.8,1771.956,1748.456,1733.98,1714.305,1722.159,1722.867,1737.006,1737.229,1745.797,1747.701,1724.128,1692.33,1658.549,1621.533,1584.09,1576.021,1566.018,1539.786,1515.314,1489.317,1481.131
584.188,606.715,625.7,646.879,667.701,682.218,701.842,718.189,735.076,755.239,773.434,786.919,829.77,875.14,934.577,959.214,994.407,1028.835,1063.586,1098.634,1134.216,1170.003,1206.043,1242.003,1276.911,1308.106,1338.328,1367.217,1392.616,1405.782,1411.752,1413.329,1411.247,1412.856,1428.53,1451.982,1479.324,1508.099,1537.783,1557.382,1593.31,1631.678,1671.53,1710.262,1746.548,1780.291,1809.021,1829.504,1840.545,1838.516,1835.986,1826.771,1806.771,1786.079,1770.291,1746.767,1732.298,1712.679,1720.518,1721.132,1734.962,1735.026,1743.736,1745.883,1722.434,1690.717,1656.884,1620.243,1582.612,1574.308,1564.773,1538.83,1513.828,1487.669
571.822,582.358,604.853,623.815,644.969,665.775,680.316,699.941,716.291,733.17,753.331,771.458,784.925,827.663,872.963,932.3,956.918,992.074,1026.471,1061.209,1096.238,1131.729,1167.468,1203.493,1239.443,1274.345,1305.555,1335.827,1364.746,1390.137,1403.27,1409.236,1410.664,1408.46,1410.212,1425.962,1449.502,1476.668,1505.551,1535.259,1554.934,1591.021,1629.106,1669.449,1707.612,1743.894,1777.63,1806.357,1826.854,1838.527,1836.265,1833.648,1824.457,1804.595,1783.907,1768.037,1744.5,1730.074,1710.428,1718.097,1718.25,1731.815,1732.049,1741.08,1743.36,1720.005,1688.195,1654.89,1617.956,1580.008,1572.438,1563.337,1536.646,1511.345
563.169,569.9,580.434,602.877,621.817,642.948,663.763,678.322,697.937,714.279,731.161,751.22,769.304,782.712,825.374,870.596,929.817,954.417,989.531,1023.912,1058.628,1093.534,1128.961,1164.679,1200.687,1236.623,1271.526,1302.792,1333.093,1361.986,1387.3,1400.401,1406.141,1407.382,1405.366,1407.234,1423.106,1446.402,1473.709,1502.626,1532.415,1552.327,1588.025,1626.755,1666.329,1704.47,1740.725,1774.433,1803.151,1824.479,1835.789,1833.372,1830.739,1821.675,1801.736,1780.911,1764.978,1741.482,1726.977,1707.104,1714.101,1713.874,1727.619,1728.275,1737.453,1739.801,1716.29,1685.179,1651.45,1614.121,1577.297,1570.341,1560.22,1533.034
553.543,561.126,567.859,578.37,600.773,619.692,640.834,661.646,676.208,695.798,712.144,728.902,748.898,766.888,780.295,822.874,868.003,927.1,951.679,986.769,1021.125,1055.682,1090.508,1125.906,1161.601,1197.589,1233.514,1268.474,1299.766,1330.023,1358.805,1384.044,1396.828,1402.308,1403.773,1401.902,1403.944,1419.504,1442.981,1470.335,1499.351,1529.423,1548.854,1585.369,1623.112,1662.644,1700.735,1736.936,1770.611,1800.378,1821.197,1832.251,1829.776,1827.253,1818,1797.853,1776.927,1761.007,1737.387,1722.552,1701.823,1708.282,1708.272,1722.511,1723.341,1732.564,1734.647,1711.994,1680.291,1646.11,1610.346,1574.376,1566.123,1555.237
543.027,551.364,558.938,565.653,576.165,598.529,617.469,638.606,659.396,673.946,693.526,709.72,726.411,746.284,764.253,777.659,820.138,865.17,924.131,948.713,983.771,1017.934,1052.39,1087.182,1122.55,1158.219,1194.187,1230.176,1265.15,1296.382,1326.497,1355.175,1379.992,1392.436,1398.171,1399.796,1398.136,1399.817,1415.608,1439.148,1466.622,1495.982,1525.437,1545.883,1581.198,1618.884,1658.347,1696.358,1732.504,1767.446,1796.552,1817.016,1827.946,1825.57,1822.751,1813.2,1792.908,1771.987,1755.871,1731.834,1715.913,1694.557,1701.246,1701.858,1716.264,1717.142,1726.009,1729.037,1705.571,1673.372,1641.206,1606.49,1568.995,1559.722
531.438,540.7,549.021,556.568,563.3,573.817,596.19,615.135,636.242,656.99,671.547,690.934,707.051,723.61,743.45,761.4,774.796,817.171,862.096,920.944,945.522,980.352,1014.398,1048.815,1083.57,1118.908,1154.548,1190.585,1226.584,1261.475,1292.536,1322.525,1350.699,1375.084,1387.806,1393.711,1395.568,1393.488,1395.466,1411.345,1435.03,1462.907,1491.545,1522.141,1541.239,1576.492,1614.097,1653.46,1691.397,1728.998,1763.153,1791.815,1812.101,1823.1,1820.352,1817.165,1807.415,1787.122,1765.961,1749.323,1724.032,1707.361,1686.346,1693.76,1694.619,1709.042,1709.521,1719.445,1721.362,1697.303,1667.484,1636.498,1599.995,1561.36
521.843,528.967,538.206,546.494,554.054,560.81,571.392,593.752,612.671,633.73,654.457,668.818,688.104,704.075,720.607,740.418,758.337,771.729,813.993,858.841,917.56,941.919,976.615,1010.618,1044.991,1079.713,1115.015,1150.729,1186.775,1222.676,1257.364,1288.281,1317.701,1345.382,1370.044,1382.934,1389.085,1390.458,1388.717,1390.826,1406.886,1431.031,1458.107,1488.016,1517.088,1536.159,1571.327,1608.828,1648.108,1687.656,1724.373,1758.022,1786.467,1806.81,1817.363,1814.215,1810.802,1801.036,1780.464,1758.725,1740.67,1714.587,1698.31,1678.237,1685.951,1686.898,1700.839,1702.53,1711.122,1712.236,1690.755,1662.166,1629.123,1591.429
510.684,519.232,526.346,535.547,543.846,551.426,558.27,568.895,591.209,610.085,631.118,651.604,665.877,684.989,700.933,717.447,737.215,755.11,768.496,810.686,855.446,913.798,938.048,972.693,1006.65,1040.985,1075.666,1111.047,1146.769,1182.708,1218.387,1252.909,1283.207,1312.091,1340.061,1364.871,1378.007,1383.621,1385.35,1383.761,1386.102,1402.684,1425.977,1454.428,1482.704,1511.725,1530.754,1565.82,1603.241,1644.249,1682.847,1719.022,1752.44,1780.942,1800.804,1810.913,1807.546,1804.122,1794.028,1772.836,1749.595,1730.697,1705.11,1689.9,1670.287,1678.117,1678.594,1693.837,1694.088,1701.692,1705.388,1685.11,1654.207,1620.03
