Location,Sex,year,age,px,fx
Argentina,Female,1961,50,0.99440201,0
Argentina,Female,1961,51,0.99397715,0
Argentina,Female,1961,52,0.99347881,0
Argentina,Female,1961,53,0.99289922,0
Argentina,Female,1961,54,0.99224875,0
Argentina,Female,1961,55,0.99156003,0
Argentina,Female,1961,56,0.99087579,0
Argentina,Female,1961,57,0.99024641,0
Argentina,Female,1961,58,0.9896925,0
Argentina,Female,1961,59,0.98919546,0
Argentina,Female,1961,60,0.98869623,0
Argentina,Female,1961,61,0.9880932,0
Argentina,Female,1961,62,0.98728912,0
Argentina,Female,1961,63,0.98619064,0
Argentina,Female,1961,64,0.98472872,0
Argentina,Female,1961,65,0.98287727,0
Argentina,Female,1961,66,0.98063711,0
Argentina,Female,1961,67,0.97806019,0
Argentina,Female,1961,68,0.97521078,0
Argentina,Female,1961,69,0.97214537,0
Argentina,Female,1961,70,0.96889345,0
Argentina,Female,1961,71,0.96541445,0
Argentina,Female,1961,72,0.9615989,0
Argentina,Female,1961,73,0.95722708,0
Argentina,Female,1961,74,0.95195432,0
Argentina,Female,1961,75,0.94524232,0
Argentina,Female,1961,76,0.93644151,0
Argentina,Female,1961,77,0.92486003,0
Argentina,Female,1961,78,0.9100063,0
Argentina,Female,1961,79,0.89226,0
Argentina,Female,1961,80,0.8730491,0
Argentina,Female,1961,81,0.85638719,0
Argentina,Female,1961,82,0.83943946,0
Argentina,Female,1961,83,0.82219401,0
Argentina,Female,1961,84,0.8046413,0
Argentina,Female,1961,85,0.7867741,0
Argentina,Female,1961,86,0.76858749,0
Argentina,Female,1961,87,0.7500788,0
Argentina,Female,1961,88,0.73124759,0
Argentina,Female,1961,89,0.71209557,0
Argentina,Female,1961,90,0.69262658,0
Argentina,Female,1961,91,0.66715212,0
Argentina,Female,1961,92,0.64254688,0
Argentina,Female,1961,93,0.61854492,0
Argentina,Female,1961,94,0.59399539,0
Argentina,Female,1961,95,0.57688434,0
Argentina,Female,1961,96,0.55669307,0
Argentina,Female,1961,97,0.53736851,0
Argentina,Female,1961,98,0.51901558,0
Argentina,Female,1961,99,0.50171265,0
Argentina,Female,1961,100,0,0
Argentina,Female,1962,0,0.94781398,0
Argentina,Female,1962,1,0.99532777,0
Argentina,Female,1962,2,0.9968109,0
Argentina,Female,1962,3,0.99780167,0
Argentina,Female,1962,4,0.99845264,0
Argentina,Female,1962,5,0.99887448,0
